-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Model Filename                                                      Arch    Output Stems (SDR)                                            Friendly Name
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1_HP-UVR.pth                                                        VR      instrumental* (13.7), vocals (7.9)                            VR Arch Single Model v5: 1_HP-UVR
2_HP-UVR.pth                                                        VR      instrumental* (13.5), vocals (8.2)                            VR Arch Single Model v5: 2_HP-UVR
3_HP-Vocal-UVR.pth                                                  VR      vocals* (8.2), instrumental (14.0)                            VR Arch Single Model v5: 3_HP-Vocal-UVR
4_HP-Vocal-UVR.pth                                                  VR      vocals* (8.3), instrumental (13.6)                            VR Arch Single Model v5: 4_HP-Vocal-UVR
5_HP-Karaoke-UVR.pth                                                VR      instrumental* (12.2), vocals (5.2)                            VR Arch Single Model v5: 5_HP-Karaoke-UVR
6_HP-Karaoke-UVR.pth                                                VR      instrumental* (13.0), vocals (4.6)                            VR Arch Single Model v5: 6_HP-Karaoke-UVR
7_HP2-UVR.pth                                                       VR      instrumental* (13.5), vocals (8.3)                            VR Arch Single Model v5: 7_HP2-UVR
8_HP2-UVR.pth                                                       VR      instrumental* (13.5), vocals (8.2)                            VR Arch Single Model v5: 8_HP2-UVR
9_HP2-UVR.pth                                                       VR      instrumental* (13.7), vocals (8.0)                            VR Arch Single Model v5: 9_HP2-UVR
10_SP-UVR-2B-32000-1.pth                                            VR      instrumental* (13.3), vocals (7.5)                            VR Arch Single Model v5: 10_SP-UVR-2B-32000-1
11_SP-UVR-2B-32000-2.pth                                            VR      instrumental* (13.8), vocals (7.3)                            VR Arch Single Model v5: 11_SP-UVR-2B-32000-2
12_SP-UVR-3B-44100.pth                                              VR      instrumental* (13.1), vocals (7.5)                            VR Arch Single Model v5: 12_SP-UVR-3B-44100
13_SP-UVR-4B-44100-1.pth                                            VR      instrumental* (13.3), vocals (7.8)                            VR Arch Single Model v5: 13_SP-UVR-4B-44100-1
14_SP-UVR-4B-44100-2.pth                                            VR      instrumental* (13.5), vocals (8.0)                            VR Arch Single Model v5: 14_SP-UVR-4B-44100-2
15_SP-UVR-MID-44100-1.pth                                           VR      instrumental* (13.1), vocals (7.5)                            VR Arch Single Model v5: 15_SP-UVR-MID-44100-1
